date,hydrograph
10/7/1950,8.899328859
2/6/1951,11.13422819
10/7/1951,9.624161074
2/6/1952,12.40268456
10/7/1952,8.657718121
3/9/1953,10.22818792
11/7/1953,8.416107383
5/9/1954,10.7114094
11/7/1954,9.382550336
4/9/1955,11.0738255
11/7/1955,9.261744966
2/6/1956,12.22147651
12/7/1956,10.89261745
5/9/1957,12.34228188
10/7/1957,9.865771812
4/9/1958,12.6442953
11/7/1958,10.59060403
2/6/1959,11.43624161
11/7/1959,8.416107383
3/8/1960,9.080536913
10/7/1960,7.751677852
3/9/1961,9.201342282
11/7/1961,6.785234899
3/9/1962,8.597315436
9/9/1962,6.543624161
5/9/1963,8.416107383
10/7/1963,5.818791946
3/8/1964,6.604026846
8/8/1964,3.825503356
4/9/1965,9.322147651
9/9/1965,7.208053691
2/6/1966,8.597315436
9/9/1966,6.302013423
2/6/1967,9.140939597
12/7/1967,7.812080537
2/6/1968,8.718120805
10/7/1968,5.758389262
4/9/1969,10.04697987
12/7/1969,7.389261745
3/9/1970,9.080536913
11/7/1970,6.543624161
2/6/1971,8.536912752
10/7/1971,6.302013423
4/8/1972,9.684563758
9/8/1972,6.845637584
1/7/1973,9.744966443
9/9/1973,7.510067114
3/9/1974,9.986577181
10/7/1974,8.234899329
5/9/1975,9.563758389
9/9/1975,7.630872483
2/6/1976,7.872483221
8/8/1976,5.879194631
2/6/1977,6.302013423
10/7/1977,4.127516779
5/9/1978,9.201342282
11/7/1978,7.268456376
2/6/1979,8.536912752
10/7/1979,4.973154362
4/8/1980,7.087248322
11/7/1980,5.214765101
4/9/1981,6
9/9/1981,3.946308725
2/6/1982,6.845637584
10/7/1982,5.275167785
4/9/1983,8.476510067
9/9/1983,6.66442953
2/6/1984,8.476510067
9/8/1984,6.362416107
3/9/1985,7.570469799
10/7/1985,5.637583893
2/6/1986,8.11409396
11/7/1986,5.758389262
2/6/1987,6.483221477
9/9/1987,3.644295302
2/6/1988,4.248322148
10/7/1988,1.711409396
3/9/1989,2.919463087
10/7/1989,0.322147651
1/7/1990,0.926174497
10/7/1990,-1.912751678
3/9/1991,-1.006711409
9/9/1991,-2.456375839
1/7/1992,-0.88590604
6/8/1992,0.44295302
10/7/1992,-0.523489933
1/7/1993,0.926174497
10/7/1993,-3.060402685
3/9/1994,-1.912751678
4/9/1994,-0.100671141
8/9/1994,0.684563758
10/7/1994,-1.248322148
11/7/1994,-0.161073826
12/7/1994,1.832214765
6/9/1995,1.953020134
7/9/1995,0.503355705
1/7/1996,1.10738255
4/8/1996,2.919463087
9/8/1996,0.744966443
3/9/1997,2.375838926
8/9/1997,-0.402684564
12/7/1997,3.583892617
10/7/1998,2.013422819
5/9/1999,3.765100671
11/7/1999,2.073825503
4/8/2000,3.402684564
9/8/2000,1.832214765
1/7/2001,2.738255034
9/9/2001,0.382550336
11/30/2001,1.740107914
12/28/2001,1.834532374
1/7/2002,1.651006711
1/27/2002,1.928956835
2/25/2002,1.848021583
3/18/2002,1.632194245
4/10/2002,1.402877698
5/3/2002,1.146582734
6/7/2002,0.795863309
6/19/2002,0.539568345
7/11/2002,0.29676259
8/27/2002,-0.09442446
9/2/2002,0.242805755
9/8/2002,0.512589928
9/8/2002,0.944244604
9/9/2002,-0.100671141
10/6/2002,1.470323741
10/7/2002,2.617449664
11/10/2002,1.659172662
11/16/2002,2.387589928
12/26/2002,2.76528777
2/17/2003,2.832733813
3/15/2003,3.318345324
4/9/2003,3.100671141
6/9/2003,2.315436242
6/16/2003,2.306654676
7/9/2003,4.248322148
7/9/2003,3.331834532
7/26/2003,4.222122302
8/19/2003,4.100719424
9/6/2003,4.316546763
10/27/2003,3.992805755
11/25/2003,4.518884892
12/7/2003,3.825503356
12/18/2003,4.964028777
1/7/2004,5.275167785
1/22/2004,5.436151079
8/28/2004,3.277877698
10/7/2004,3.281879195
10/31/2004,3.480215827
12/10/2004,4.775179856
1/3/2005,5.247302158
1/7/2005,5.214765101
3/2/2005,5.598021583
9/13/2005,4.478417266
10/7/2005,4.369127517
10/28/2005,4.545863309
11/27/2005,5.746402878
12/7/2005,5.516778523
1/6/2006,5.881294964
2/6/2006,6.966442953
3/20/2006,7.162769784
6/27/2006,6.245503597
10/3/2006,5.854316547
10/7/2006,5.516778523
10/26/2006,6.447841727
11/1/2006,6.151079137
1/15/2007,6.704136691
1/15/2007,6.987410072
2/6/2007,6.604026846
3/18/2007,6.892985612
9/2/2007,5.625
9/9/2007,5.093959732
11/16/2007,5.948741007
12/3/2007,6.447841727
12/26/2007,7.257194245
1/7/2008,6.785234899
3/4/2008,6.785071942
9/17/2008,5.193345324
10/7/2008,4.912751678
1/5/2009,5.71942446
1/5/2009,6.01618705
1/7/2009,6.120805369
1/23/2009,6.501798561
9/4/2009,5.098920863
10/25/2009,5.179856115
12/10/2009,6.002697842
12/16/2009,5.732913669
3/11/2010,6.785071942
6/18/2010,6.056654676
9/19/2010,5.678956835
11/10/2010,6.31294964
12/8/2010,6.717625899
1/7/2011,6.690647482
1/18/2011,6.90647482
2/16/2011,7.324640288
3/21/2011,7.513489209
5/12/2011,7.176258993
8/27/2012,5.557553957
10/7/2012,5.436151079
10/24/2012,6.097122302
12/4/2012,6.326438849
12/4/2012,6.51528777
3/16/2013,6.299460432
10/5/2013,4.761690647
11/3/2013,4.815647482
12/19/2013,4.680755396
12/31/2013,5.004496403
2/27/2014,5.382194245
6/20/2014,4.330035971
10/14/2014,3.642086331
10/20/2014,3.992805755
11/7/2014,4.208633094
11/12/2014,5.058453237
1/15/2015,4.829136691
1/21/2015,5.085431655
8/21/2015,3.318345324
10/29/2015,3.169964029
12/14/2015,3.696043165
12/20/2015,4.289568345
1/24/2016,4.357014388
2/11/2016,4.93705036
6/4/2016,4.04676259
9/23/2016,3.304856115
11/14/2016,3.790467626
12/18/2016,4.289568345
1/5/2017,5.179856115
1/5/2017,5.692446043
2/20/2017,6.110611511
3/24/2017,6.31294964
7/18/2017,5.395683453
10/13/2017,5.071942446
10/31/2017,5.449640288
12/4/2017,5.854316547
12/10/2017,5.409172662
2/1/2018,5.773381295
3/5/2018,6.51528777
6/6/2018,5.840827338
7/27/2018,5.382194245
10/17/2018,5.179856115
11/3/2018,5.490107914
12/25/2018,6.029676259
12/31/2018,6.434352518
1/23/2019,6.933453237
3/3/2019,7.351618705
5/5/2019,6.987410072
6/9/2019,6.677158273
8/23/2019,6.056654676
10/26/2019,5.692446043
11/18/2019,6.258992806
